5:4
5:11
6:27
6:28
7:23
10:13
10:26
10:31
12:4
13:12
13:25
14:3
14:13
14:30
15:13
17:10
17:22
18:6
18:14
19:15
20:17
20:26
20:30
21:25
21:26
22:5
22:13
22:15
23:8
23:13
23:14
23:29
23:32
23:35
25:15
25:16
25:18
25:19
25:20
25:22
26:3
26:6
26:9
26:10
26:11
26:18
26:27
27:22
29:1
30:14
30:17
30:33
31:6
