# Taken from http://catholic-resources.org/Bible/OT-Statistics-NAB.htm.
length
33
22
35
27
23
35
27
36
18
32
31
28
25
35
33
33
28
24
29
30
31
29
35
34
28
28
27
28
27
33
31
