prime,trace
2,0
3,3
5,4
7,5
11,6
13,6
17,6
19,8
23,6
29,6
31,4
37,11
41,9
43,4
47,8
53,10
59,0
61,7
67,7
71,13
73,8
79,-10
83,3
89,6
97,-7
101,0
103,1
107,-2
109,14
113,6
127,15
131,19
137,2
139,-12
149,2
151,-16
157,-9
163,20
167,-14
173,-2
179,20
181,26
191,12
193,-5
197,12
199,20
211,2
223,-7
227,-10
229,-7
233,10
239,15
241,-11
251,-6
257,-17
263,24
269,17
271,23
277,15
281,16
283,-9
293,-24
307,12
311,32
313,-5
317,-27
331,-1
337,0
347,23
349,5
353,-2
359,4
367,26
373,31
379,10
383,1
389,4
397,27
401,-10
409,-25
419,-6
421,32
431,-10
433,10
439,-23
443,11
449,6
457,-24
461,6
463,40
467,24
479,4
487,4
491,-40
499,7
503,-32
509,21
521,-5
523,21
541,5
547,20
557,30
563,21
569,-1
571,-10
577,18
587,18
593,19
599,10
601,-44
607,-45
613,10
617,-41
619,-44
631,14
641,-25
643,10
647,-9
653,-36
659,2
661,15
673,27
677,24
683,46
691,22
701,-6
709,14
719,21
727,26
733,-17
739,-34
743,26
751,-32
757,10
761,7
769,2
773,8
787,18
797,49
809,30
811,20
821,35
823,-4
827,15
829,-51
839,16
853,28
857,42
859,-41
863,-25
877,-12
881,-19
883,4
887,1
907,27
911,56
919,-10
929,-21
937,-38
941,40
947,-44
953,49
967,-14
971,-15
977,30
983,7
991,-56
997,-46
1009,32
1013,7
1019,18
1021,-42
1031,45
1033,30
1039,-41
1049,-50
1051,-13
1061,40
1063,44
1069,-14
1087,34
1091,42
1093,26
1097,17
1103,-6
1109,-36
1117,4
1123,-56
1129,56
1151,24
1153,6
1163,17
1171,-10
1181,66
1187,43
1193,38
1201,3
1213,29
1217,3
1223,-14
1229,20
1231,13
1237,-23
1249,-8
1259,0
1277,3
1279,-13
1283,-38
1289,-33
1291,-65
1297,27
1301,-16
1303,-45
1307,12
1319,-32
1321,-26
1327,5
1361,-28
1367,42
1373,-26
1381,-50
1399,29
1409,-30
1423,18
1427,68
1429,-17
1433,-12
1439,54
1447,35
1451,-11
1453,-2
1459,53
1471,-22
1481,18
1483,52
1487,0
1489,36
1493,22
1499,-24
1511,26
1523,-28
1531,-66
1543,59
1549,10
1553,-21
1559,-60
1567,44
1571,44
1579,26
1583,23
1597,-42
1601,-48
1607,32
1609,58
1613,-18
1619,53
1621,18
1627,37
1637,37
1657,52
1663,40
1667,2
1669,-48
1693,42
1697,-75
1699,-71
1709,-56
1721,-58
1723,0
1733,70
1741,-51
1747,-11
1753,41
1759,-5
1777,58
1783,36
1787,-12
1789,-66
1801,74
1811,28
1823,36
1831,-40
1847,38
1861,67
1867,16
1871,24
1873,-42
1877,-10
1879,7
1889,-45
1901,-18
1907,-10
1913,-6
1931,47
1933,-57
1949,54
1951,42
1973,0
1979,-4
1987,-62
1993,56
1997,21
1999,80
2003,-4
2011,8
2017,-13
2027,-68
2029,26
2039,87
2053,-30
2063,-3
2069,18
2081,34
2083,62
2087,-38
2089,22
2099,80
2111,-3
2113,70
2129,58
2131,-80
2137,50
2141,25
2143,60
2153,-54
2161,6
2179,62
2203,7
2207,-86
2213,48
2221,-10
2237,-15
2239,56
2243,12
2251,74
2267,-52
2269,55
2273,56
2281,70
2287,-23
2293,89
2297,-45
2309,21
2311,-19
2333,83
2339,14
2341,-73
2347,-93
2351,47
2357,38
2371,71
2377,16
2381,50
2383,24
2389,-24
2393,54
2399,-6
2411,-66
2417,46
2423,4
2437,-64
2441,12
2447,-42
2459,58
2467,44
2473,78
2477,66
2503,-40
2521,-5
2531,-48
2539,-25
2543,0
2549,-10
2551,3
2557,-38
