prime,trace
2,2
3,3
5,4
7,5
11,-1
13,7
17,8
19,8
23,8
29,10
31,10
37,10
41,11
43,12
47,12
53,14
59,12
61,12
67,12
71,15
73,7
79,16
83,17
89,14
97,18
101,11
103,16
107,8
109,16
113,15
127,22
131,6
137,13
139,12
149,22
151,21
157,22
163,20
167,21
173,3
179,12
181,22
191,24
193,26
197,-8
199,22
211,23
223,15
227,20
229,27
233,16
239,0
241,11
251,17
257,30
263,1
269,12
271,20
277,26
281,18
283,20
293,5
307,32
311,16
313,6
317,-19
331,20
337,2
347,20
349,31
353,19
359,6
367,33
373,1
379,16
383,6
389,10
397,26
401,24
409,38
419,-28
421,31
431,39
433,-19
439,4
443,11
449,31
457,5
461,18
463,36
467,-1
479,25
487,3
491,20
499,17
503,36
509,-24
521,12
523,36
541,38
547,40
557,-15
563,32
569,-18
571,22
577,12
587,-34
593,26
599,21
601,42
607,-28
613,14
617,41
619,5
631,17
641,33
643,19
647,-40
653,24
659,28
661,25
673,-34
677,-13
683,-13
691,5
701,-32
709,39
719,-16
727,7
733,32
739,8
743,28
751,-10
757,38
761,-34
769,14
773,-9
787,14
797,-39
809,42
811,40
821,-6
823,48
827,24
829,-43
839,-51
853,7
857,-9
859,-8
863,-8
877,46
881,37
883,36
887,14
907,19
911,20
919,-54
929,17
937,-2
941,-17
947,-24
953,-15
967,-35
971,36
977,-10
983,2
991,2
997,28
1009,-40
1013,61
1019,27
1021,-54
1031,-32
1033,62
1039,-40
1049,-35
1051,53
1061,11
1063,-28
1069,-3
1087,8
1091,1
1093,-7
1097,3
1103,29
1109,27
1117,50
1123,52
1129,60
1151,-3
1153,64
1163,9
1171,50
1181,-63
1187,60
1193,-24
1201,41
1213,48
1217,63
1223,7
1229,62
1231,-53
1237,35
1249,66
1259,53
1277,68
1279,28
1283,69
1289,45
1291,-40
1297,1
1301,-36
1303,-64
1307,31
1319,-37
1321,64
1327,16
1361,2
1367,-11
1373,-66
1381,32
1399,48
1409,-66
1423,16
1427,70
1429,34
1433,-42
1439,32
1447,-34
1451,-4
1453,2
1459,-22
1471,68
1481,3
1483,-1
1487,24
1489,18
1493,64
1499,-16
1511,33
1523,77
1531,57
1543,40
1549,34
1553,75
1559,-6
1567,29
1571,28
1579,-20
1583,32
1597,42
1601,-6
1607,6
1609,55
1613,39
1619,24
1621,25
1627,-5
1637,34
1657,22
1663,-5
1667,-48
1669,54
1693,-46
1697,63
1699,-44
1709,46
1721,-1
1723,20
1733,24
1741,23
1747,-16
1753,-56
1759,-72
1777,-12
1783,24
1787,18
1789,59
1801,25
1811,-1
1823,74
1831,68
1847,-40
1861,0
1867,-66
1871,-3
1873,-34
1877,80
1879,-12
1889,68
1901,-34
1907,8
1913,74
1931,39
1933,34
1949,39
1951,15
1973,-33
1979,-11
1987,-44
1993,22
1997,-6
1999,-40
2003,-30
2011,-37
2017,-18
2027,60
2029,-18
2039,-55
2053,71
2063,37
2069,44
2081,-3
2083,29
2087,6
2089,14
2099,8
2111,7
2113,-14
2129,-22
2131,-45
2137,-66
2141,-16
2143,49
2153,-59
2161,46
2179,10
2203,-58
2207,-9
2213,54
2221,49
2237,3
2239,59
2243,-76
2251,-84
2267,-54
2269,69
2273,-57
2281,-12
2287,-9
2293,24
2297,34
2309,-54
2311,48
2333,7
2339,42
2341,66
2347,12
2351,24
2357,66
2371,-12
2377,-18
2381,44
2383,14
2389,86
2393,-59
2399,-75
2411,85
2417,33
2423,84
2437,13
2441,-76
2447,0
2459,-30
2467,-80
2473,-68
2477,82
2503,59
2521,-26
2531,36
2539,-79
2543,36
2549,51
2551,38
2557,88
2579,52
2591,24
2593,68
2609,52
2617,36
2621,41
2633,-85
2647,88
2657,72
2659,68
2663,32
2671,2
2677,92
2683,41
2687,86
2689,-18
2693,-6
2699,52
2707,2
2711,-40
2713,-38
2719,80
2729,26
2731,-26
2741,-30
2749,100
2753,-84
2767,-76
2777,22
2789,2
2791,16
2797,-29
2801,30
2803,-7
2819,-60
2833,-57
2837,-10
2843,80
2851,65
2857,-22
2861,2
2879,48
2887,94
2897,7
2903,-29
2909,-6
2917,-22
2927,-22
2939,32
2953,56
2957,-21
2963,-68
2969,-45
2971,13
2999,-40
3001,25
3011,32
3019,56
3023,66
3037,75
3041,34
3049,0
3061,12
3067,-92
3079,-11
3083,-11
3089,4
3109,-42
3119,103
3121,-56
3137,-58
3163,52
3167,24
3169,-26
3181,-20
3187,86
3191,73
3203,-54
3209,-2
3217,22
3221,-15
3229,108
3251,84
3253,30
3257,86
3259,57
3271,-3
3299,41
3301,25
3307,22
3313,-17
3319,73
3323,-54
3329,-12
3331,-33
3343,55
3347,69
3359,52
3361,-11
3371,-37
3373,-77
3389,90
3391,-64
3407,30
3413,66
3433,46
3449,-18
3457,-2
3461,15
3463,-104
3467,21
3469,47
3491,-60
3499,-52
3511,65
3517,86
3527,-35
3529,79
3533,14
3539,-116
3541,44
3547,2
3557,-97
3559,24
3571,16
3581,106
3583,14
3593,44
3607,-84
3613,-41
3617,-62
3623,104
3631,5
3637,2
3643,53
3659,20
3671,6
3673,68
3677,-46
3691,-47
3697,-50
3701,-85
3709,76
3719,93
3727,-53
3733,-86
3739,-33
3761,84
3767,32
3769,22
3779,57
3793,94
3797,4
3803,4
3821,-90
3823,-74
3833,-2
3847,27
3851,75
3853,-22
3863,51
3877,-117
3881,70
3889,116
3907,-62
3911,-89
3917,53
3919,24
3923,-30
3929,46
3931,-34
3943,79
3947,36
3967,115
3989,-15
4001,94
4003,-60
4007,31
4013,-81
4019,-15
4021,69
4027,21
4049,-39
4051,64
4057,1
4073,93
4079,100
4091,-47
4093,-52
4099,-70
4111,-77
4127,28
4129,51
4133,-10
4139,25
4153,-13
4157,-110
4159,-50
4177,70
4201,-30
4211,76
4217,-68
4219,15
4229,-68
4231,-5
4241,75
4243,-24
4253,104
4259,28
4261,93
4271,43
4273,70
4283,26
4289,24
4297,-74
4327,-103
4337,38
4339,-44
4349,27
4357,-49
4363,-11
4373,-66
4391,1
4397,-51
4409,93
4421,60
4423,1
4441,-42
4447,36
4451,-42
4457,-111
4463,9
4481,116
4483,-78
4493,-30
4507,-7
4513,-43
4517,66
4519,121
4523,80
4547,-46
4549,8
4561,2
4567,72
4583,21
4591,-12
4597,34
4603,53
4621,8
4637,12
4639,-86
4643,-4
4649,-3
4651,97
4657,12
4663,-10
4673,52
4679,-105
4691,0
4703,-116
4721,38
4723,-11
4729,32
4733,48
4751,-108
4759,-61
4783,-37
4787,28
4789,71
4793,9
4799,96
4801,47
4813,128
4817,126
4831,-28
4861,-119
4871,110
4877,20
4889,-20
4903,-84
4909,-94
4919,-24
4931,12
4933,92
4937,19
4943,49
4951,32
4957,80
4967,15
4969,119
4973,-57
4987,-30
4993,-100
4999,-31
5003,72
5009,54
5011,73
5021,-23
5023,-100
5039,28
5051,-4
5059,42
5077,124
5081,-102
5087,-68
5099,66
5101,1
5107,113
5113,-87
5119,79
5147,51
5153,10
5167,8
5171,54
5179,137
5189,67
5197,-56
5209,-33
5227,82
5231,69
5233,-102
5237,-83
5261,42
5273,-106
5279,-51
5281,98
5297,-18
5303,5
5309,130
5323,-24
5333,126
5347,52
5351,50
5381,64
5387,-84
5393,138
5399,-8
5407,56
5413,62
5417,-84
5419,-75
5431,-145
5437,8
5441,-23
5443,8
5449,-41
5471,-24
5477,60
5479,-11
5483,16
5501,-60
5503,5
5507,-6
5519,-108
5521,48
5527,-8
5531,-72
5557,52
5563,-100
5569,-127
5573,-55
5581,-13
5591,66
5623,18
5639,21
5641,93
5647,-7
5651,-63
5653,122
5657,72
5659,66
5669,36
5683,116
5689,85
5693,-26
5701,130
5711,-71
5717,-23
5737,-24
5741,-42
5743,-9
5749,74
5779,35
5783,-61
5791,58
5801,-50
5807,-2
5813,119
5821,-55
5827,-92
5839,89
5843,-64
5849,120
5851,-42
5857,-88
5861,75
5867,35
5869,30
5879,144
