prime,trace
2,0
3,0
5,4
7,4
11,6
13,6
17,7
19,8
23,8
29,6
31,8
37,11
41,10
43,11
47,10
53,13
59,3
61,10
67,12
71,15
73,11
79,10
83,8
89,6
97,10
101,7
103,-4
107,-4
109,13
113,0
127,20
131,20
137,9
139,12
149,6
151,10
157,9
163,14
167,-12
173,-4
179,4
181,6
191,14
193,18
197,3
199,8
211,-10
223,21
227,-16
229,8
233,24
239,24
241,23
251,-23
257,18
263,18
269,6
271,29
277,10
281,27
283,9
293,0
307,9
311,15
313,17
317,1
331,11
337,-10
347,-27
349,10
353,26
359,5
367,-10
373,14
379,-23
383,-2
389,9
397,2
401,30
409,4
419,-21
421,-4
431,18
433,26
439,-1
443,-9
449,-6
457,-15
461,8
463,8
467,6
479,15
487,12
491,31
499,27
503,-8
509,18
521,10
523,29
541,-17
547,13
557,30
563,-6
569,-33
571,-2
577,3
587,18
593,6
599,-10
601,28
607,6
613,16
617,8
619,-17
631,32
641,30
643,-5
647,8
653,12
659,-44
661,16
673,32
677,-6
683,-44
691,-32
701,-10
709,10
719,29
727,-16
733,4
739,4
743,4
751,-50
757,34
761,-26
769,22
773,45
787,18
797,10
809,12
811,-32
821,-30
823,-18
827,33
829,41
839,48
853,-9
857,-12
859,-51
863,12
877,41
881,30
883,-22
887,10
907,-37
911,20
919,-18
929,-26
937,10
941,-6
947,-9
953,-34
967,-30
971,0
977,-44
983,54
991,58
997,35
1009,-2
1013,13
1019,-23
1021,-17
1031,-27
1033,-2
1039,58
1049,-10
1051,26
1061,12
1063,-20
1069,-56
1087,17
1091,-18
1093,46
1097,0
1103,32
1109,-21
1117,52
1123,-44
1129,11
1151,57
1153,25
1163,12
1171,19
1181,-50
1187,-34
1193,1
1201,22
1213,42
1217,3
1223,16
1229,6
1231,36
1237,10
1249,14
1259,-28
1277,33
1279,38
1283,-24
1289,-60
1291,10
1297,50
1301,10
1303,-48
1307,46
1319,36
1321,-26
1327,-19
1361,-38
1367,15
1373,2
1381,-26
1399,64
1409,-5
1423,25
1427,-7
1429,60
1433,42
1439,72
1447,28
1451,50
1453,34
1459,18
1471,32
1481,-51
1483,21
1487,9
1489,14
1493,-22
1499,75
1511,36
1523,-51
1531,65
1543,-43
1549,-15
1553,11
1559,8
1567,54
1571,-18
1579,26
1583,48
1597,56
1601,-34
1607,-57
1609,-41
1613,-42
1619,-74
1621,10
1627,68
1637,6
1657,28
1663,61
1667,-12
1669,-32
1693,14
1697,42
1699,-60
1709,4
1721,4
1723,56
1733,66
1741,12
1747,-61
1753,26
1759,67
1777,47
1783,10
1787,-34
1789,36
1801,17
1811,-48
1823,-47
1831,32
1847,-56
1861,64
1867,-8
1871,-23
1873,5
1877,30
1879,-7
1889,62
1901,78
1907,-56
1913,32
1931,-72
1933,72
1949,-10
1951,-63
1973,33
1979,56
1987,-20
1993,-52
1997,33
1999,-32
2003,59
2011,-41
2017,56
2027,-7
2029,54
2039,-79
2053,-38
2063,15
2069,37
2081,68
2083,-12
2087,-48
2089,65
2099,9
2111,28
2113,-62
2129,10
2131,44
2137,-32
2141,47
2143,-56
2153,22
2161,4
2179,36
2203,53
2207,-72
2213,50
2221,48
2237,-33
2239,60
2243,-79
2251,-45
2267,-21
2269,-11
2273,-40
2281,77
2287,13
2293,7
2297,73
2309,22
2311,29
2333,18
2339,81
2341,32
2347,19
2351,26
2357,-21
2371,-22
2377,74
2381,67
2383,-38
2389,-50
2393,-1
2399,6
2411,-96
2417,72
2423,3
2437,-15
2441,-47
2447,94
2459,-72
2467,7
2473,6
2477,-39
2503,-66
2521,53
2531,40
2539,-60
2543,33
2549,22
2551,-70
2557,19
2579,-44
2591,48
2593,44
2609,-14
2617,42
2621,27
2633,-82
2647,8
2657,-66
2659,31
2663,-24
2671,23
2677,-65
2683,-86
2687,96
2689,80
2693,6
2699,-27
2707,36
2711,46
2713,-22
2719,31
2729,-28
2731,-43
2741,-52
2749,-46
2753,60
2767,24
2777,-1
2789,66
2791,-18
2797,-102
2801,74
2803,101
2819,12
2833,-34
2837,59
2843,46
2851,13
2857,84
2861,58
2879,-75
2887,100
2897,24
2903,-91
2909,-90
2917,-7
2927,-99
2939,75
2953,65
2957,40
2963,21
2969,70
2971,-75
2999,67
3001,-28
3011,-63
3019,12
3023,-54
3037,-34
3041,20
3049,-84
3061,13
3067,-31
3079,86
3083,30
3089,47
3109,-18
3119,-64
3121,80
3137,32
3163,-6
3167,1
3169,-94
3181,-35
3187,92
3191,-58
3203,40
3209,-6
3217,-21
3221,93
3229,-89
3251,0
3253,-98
3257,29
3259,-89
3271,-81
3299,12
3301,-23
3307,11
3313,-26
3319,17
3323,-24
3329,-32
3331,61
3343,-8
3347,12
3359,86
3361,-96
3371,-78
3373,26
3389,-64
3391,-51
3407,-91
3413,67
3433,70
3449,-60
3457,58
3461,103
3463,-80
3467,72
3469,25
3491,89
3499,8
3511,56
3517,-52
3527,-15
3529,-8
3533,-21
3539,19
3541,24
3547,-98
3557,12
3559,-40
3571,-108
3581,12
3583,-79
3593,47
3607,112
3613,104
3617,33
3623,64
3631,28
3637,11
3643,53
3659,70
3671,98
3673,106
3677,-56
3691,-88
3697,47
3701,66
3709,11
3719,-21
3727,79
3733,102
3739,80
3761,-50
3767,-83
3769,-45
3779,-42
3793,-56
3797,70
3803,-22
3821,91
3823,99
3833,-98
3847,-112
3851,50
3853,80
3863,-66
3877,-28
3881,-24
3889,8
3907,40
3911,14
3917,33
3919,-64
3923,20
3929,-48
3931,79
3943,-38
3947,-10
3967,-30
3989,6
4001,-12
4003,-66
4007,46
4013,10
4019,-72
4021,-64
4027,-76
4049,-80
4051,-4
4057,-73
4073,37
4079,100
4091,78
4093,-70
4099,-44
4111,-18
4127,72
4129,34
4133,6
4139,-84
4153,128
4157,-97
4159,-47
4177,62
4201,97
4211,-35
4217,30
4219,10
4229,54
4231,-29
4241,66
4243,96
4253,72
4259,96
4261,112
4271,15
4273,-120
4283,-101
4289,110
4297,33
4327,-1
4337,35
4339,-92
4349,-32
4357,22
4363,4
4373,-116
4391,-60
4397,98
4409,112
4421,18
4423,16
4441,13
4447,11
4451,-12
4457,28
4463,46
4481,-4
4483,53
4493,82
4507,-13
4513,101
4517,92
4519,9
4523,-28
4547,-103
4549,86
4561,-4
4567,18
4583,37
4591,76
4597,46
4603,-9
4621,58
4637,34
4639,69
4643,-54
4649,55
4651,119
4657,73
4663,-44
4673,72
4679,-87
4691,24
4703,-36
4721,42
4723,71
4729,-116
4733,74
4751,0
4759,-132
4783,-16
4787,-111
4789,52
4793,-10
4799,-10
4801,117
4813,2
4817,102
4831,99
4861,-90
4871,-32
4877,-80
4889,-80
4903,-24
4909,-54
4919,0
4931,24
4933,136
4937,136
4943,49
4951,8
4957,-28
4967,93
4969,-40
4973,49
4987,124
4993,-54
4999,-97
5003,84
5009,-79
5011,-91
5021,60
5023,-87
5039,4
5051,-88
5059,-16
5077,-118
5081,18
5087,25
5099,-116
5101,80
5107,51
5113,100
5119,-41
5147,-72
5153,72
5167,34
5171,-120
5179,-61
5189,130
5197,-110
5209,80
5227,52
5231,102
5233,-125
5237,112
5261,22
5273,102
5279,-42
5281,-10
5297,8
5303,54
5309,-10
5323,-94
5333,1
5347,118
5351,102
5381,-117
5387,-100
5393,65
5399,0
5407,-125
5413,144
5417,-31
5419,-70
5431,-30
5437,105
5441,40
5443,-96
5449,34
5471,-80
5477,-39
5479,110
5483,-81
5501,38
5503,19
5507,98
5519,-104
5521,-70
5527,5
5531,-46
5557,37
5563,-20
5569,-46
5573,-64
5581,25
5591,147
5623,-19
5639,-94
5641,33
5647,44
5651,-45
5653,127
5657,93
5659,28
5669,-54
5683,52
5689,-66
5693,131
5701,2
5711,116
5717,-84
5737,14
5741,-45
5743,43
5749,2
5779,35
5783,-113
5791,99
5801,-124
5807,41
5813,34
5821,-2
5827,26
5839,-109
5843,43
5849,-87
5851,-131
5857,-78
5861,-71
5867,130
5869,-18
5879,127
5881,108
5897,-69
5903,18
5923,122
5927,126
5939,-53
5953,75
5981,4
5987,98
6007,-16
6011,-27
6029,42
6037,43
6043,6
6047,132
6053,95
6067,52
6073,-13
6079,74
6089,34
6091,-64
6101,30
6113,-21
6121,-55
6131,84
6133,133
6143,-12
6151,-23
6163,104
6173,5
6197,72
6199,140
6203,0
6211,108
6217,112
6221,-54
6229,12
6247,-70
6257,111
6263,106
6269,129
6271,30
6277,-64
6287,-82
6299,114
6301,-68
6311,0
6317,-123
6323,-42
6329,21
6337,106
6343,82
6353,-110
6359,28
6361,38
6367,72
6373,108
6379,-24
6389,128
6397,79
6421,-115
6427,59
6449,-12
6451,139
6469,-86
6473,22
6481,51
6491,102
6521,-42
6529,-72
6547,-97
6551,60
6553,26
6563,-54
6569,-102
6571,-43
6577,46
6581,-18
6599,-49
6607,72
6619,8
6637,142
6653,-118
6659,-111
6661,-37
6673,83
6679,115
6689,-118
6691,82
6701,-64
6703,96
6709,-6
6719,54
6733,20
6737,-138
6761,-67
6763,-26
6779,116
6781,-62
6791,-61
6793,-99
6803,26
6823,-56
6827,-124
6829,164
6833,-9
6841,118
6857,58
6863,38
6869,100
6871,5
6883,-25
6899,-128
6907,-20
6911,-6
6917,26
6947,90
6949,98
6959,132
6961,-57
6967,89
6971,18
6977,-126
6983,16
6991,22
6997,72
7001,-105
7013,-126
7019,-64
7027,-18
7039,40
7043,-108
7057,92
7069,78
7079,29
7103,33
7109,0
7121,-120
7127,78
7129,-27
7151,64
7159,24
7177,32
7187,44
7193,-116
7207,54
7211,-114
7213,-14
7219,10
7229,81
7237,-90
7243,38
7247,12
7253,17
7283,-84
7297,-72
7307,138
7309,72
7321,30
7331,-28
7333,-58
7349,-56
7351,-59
7369,38
7393,-143
7411,-92
7417,-6
7433,131
7451,58
7457,48
7459,-84
7477,-94
7481,114
7487,159
7489,-86
7499,100
7507,4
7517,-147
7523,-126
7529,0
7537,58
7541,-18
7547,52
7549,-66
7559,-21
7561,8
7573,6
7577,57
7583,-148
7589,50
7591,130
7603,130
7607,-81
7621,18
7639,170
7643,35
7649,-24
7669,-17
7673,47
7681,-127
7687,-145
7691,-108
7699,77
7703,52
7717,51
7723,74
7727,21
7741,62
7753,128
7757,-59
7759,162
7789,-138
7793,54
7817,98
7823,78
7829,-108
7841,169
7853,89
7867,-20
7873,-134
7877,-27
7879,-148
7883,12
7901,-152
7907,120
7919,-26
7927,-53
7933,-104
7937,-78
7949,-96
7951,-52
7963,68
7993,126
8009,-26
8011,115
8017,-123
8039,-66
8053,-70
8059,-29
8069,99
8081,-108
8087,-4
8089,-60
8093,-71
8101,-130
8111,-15
8117,6
8123,-7
8147,-116
8161,34
8167,128
8171,93
8179,-90
8191,-64
8209,57
8219,106
8221,-126
8231,63
8233,18
8237,138
8243,124
8263,-94
8269,-44
8273,2
8287,94
8291,-133
8293,-2
8297,-102
8311,-124
8317,7
8329,52
8353,35
8363,-18
8369,-37
8377,-84
8387,44
8389,26
8419,89
8423,84
8429,-46
8431,158
8443,44
8447,-54
8461,-23
8467,-103
8501,-18
8513,-142
8521,-128
8527,96
8537,33
8539,62
8543,142
8563,4
8573,107
8581,165
8597,21
8599,177
8609,-54
8623,-149
8627,-53
8629,-67
8641,117
8647,-118
8663,-94
8669,45
8677,-77
8681,14
8689,75
8693,-39
8699,-20
8707,-141
8713,-79
8719,10
8731,50
8737,18
8741,-152
8747,156
8753,-112
8761,-48
8779,-105
8783,-34
8803,30
8807,90
8819,162
8821,-107
8831,-75
8837,162
8839,-40
8849,6
8861,-110
8863,-164
8867,9
8887,95
8893,74
8923,-92
8929,-53
8933,5
8941,-145
8951,9
8963,126
8969,115
8971,103
8999,-166
9001,72
9007,1
9011,92
9013,-115
9029,-109
9041,9
9043,49
9049,161
9059,76
9067,-132
9091,-90
9103,-109
9109,-104
9127,89
9133,18
9137,-22
9151,148
9157,120
9161,118
9173,-30
9181,52
9187,140
9199,98
9203,-38
9209,24
9221,-168
9227,-108
9239,145
9241,-73
9257,126
9277,-162
9281,56
9283,88
9293,-112
9311,153
9319,124
9323,-162
9337,-152
9341,42
9343,74
9349,-114
9371,27
9377,-93
9391,-127
9397,106
9403,65
9413,39
9419,-60
9421,-160
9431,8
9433,-91
9437,4
9439,-39
9461,28
9463,124
9467,-146
9473,84
9479,-16
9491,114
9497,-8
9511,-115
9521,138
9533,66
9539,-54
9547,-104
9551,-142
9587,26
9601,1
9613,-73
9619,-140
9623,-32
9629,121
9631,-142
9643,44
9649,168
9661,-177
9677,-110
9679,71
9689,34
9697,-174
9719,60
9721,106
9733,-9
9739,-77
9743,-123
9749,65
9767,161
9769,-139
9781,38
9787,-28
9791,168
9803,-153
9811,182
9817,40
9829,38
9833,-57
9839,42
9851,-160
9857,196
9859,-106
9871,130
9883,-44
9887,-116
9901,-87
9907,-148
9923,177
9929,0
9931,51
9941,-92
9949,73
9967,8
9973,-157
10007,-52
10009,179
10037,126
10039,-172
10061,-72
10067,109
10069,-118
10079,1
10091,-114
10093,136
10099,145
10103,-56
10111,158
10133,-169
10139,-58
10141,116
10151,153
10159,98
10163,-126
10169,139
10177,18
10181,-62
10193,166
10211,-60
10223,186
10243,-178
10247,124
10253,78
10259,-48
10267,-16
10271,7
10273,80
10289,123
10301,-7
10303,-24
10313,-102
10321,-109
10331,-112
10333,-142
10337,140
10343,-100
10357,-187
10369,94
10391,-116
10399,-148
10427,156
10429,-80
10433,34
10453,122
10457,170
10459,-94
10463,-135
10477,-36
10487,-164
10499,105
10501,-155
10513,124
10529,78
10531,-60
10559,-130
10567,62
10589,177
10597,32
10601,38
10607,138
10613,-164
10627,4
10631,34
10639,-11
10651,-5
10657,50
10663,152
10667,134
10687,-88
10691,-4
10709,183
10711,148
10723,-28
10729,122
10733,-6
10739,-88
10753,-42
10771,-100
10781,135
10789,15
10799,105
10831,75
10837,150
10847,39
10853,123
10859,117
10861,-158
10867,-24
10883,60
10889,-74
10891,-67
10903,-166
10909,-19
10937,-54
10939,-99
10949,149
10957,-68
10973,-178
10979,-160
10987,37
10993,-194
11003,26
11027,-75
11047,64
11057,88
11059,-106
11069,190
11071,80
11083,53
11087,146
11093,128
11113,-100
11117,18
11119,95
11131,100
11149,-56
11159,-55
11161,-2
11171,60
11173,4
11177,-176
11197,98
11213,-196
11239,-16
11243,-100
11251,80
11257,-23
11261,-60
11273,106
11279,186
11287,-60
11299,111
11311,-85
11317,198
11321,-75
11329,-108
11351,44
11353,210
11369,90
11383,70
11393,186
11399,84
11411,-33
11423,126
11437,194
11443,-58
11447,-82
11467,24
11471,54
11483,-140
11489,-130
11491,0
11497,-102
11503,124
11519,150
11527,104
11549,126
11551,73
11579,-21
11587,-29
11593,-42
11597,170
11617,131
11621,-138
11633,-66
11657,193
11677,-111
11681,57
11689,86
11699,182
11701,117
11717,-56
11719,-25
11731,144
11743,-43
11777,-37
11779,-132
11783,61
11789,-18
11801,133
11807,-80
11813,144
11821,-201
11827,116
11831,84
11833,37
11839,-4
11863,58
11867,-104
11887,96
11897,98
11903,16
11909,48
11923,-204
11927,68
11933,-21
11939,-110
11941,-54
11953,-20
11959,162
11969,-135
11971,127
11981,2
11987,24
12007,56
12011,-30
12037,113
12041,27
12043,-153
12049,-93
12071,-80
12073,-172
12097,-16
12101,54
12107,76
12109,68
12113,71
12119,183
12143,158
12149,-57
12157,34
12161,150
12163,-142
12197,-128
12203,-60
12211,-17
12227,-92
12239,203
12241,-113
12251,76
12253,45
12263,174
12269,-71
12277,-98
12281,-141
12289,0
12301,-50
12323,-24
12329,22
12343,-113
12347,80
12373,-38
12377,67
12379,11
12391,63
12401,6
12409,-4
12413,107
12421,62
12433,-148
12437,48
12451,127
12457,-142
12473,111
12479,-56
12487,-8
12491,-150
12497,150
12503,-150
12511,-128
12517,149
12527,-90
12539,102
12541,-10
12547,135
12553,218
12569,206
12577,-118
