prime,trace
2,0
3,3
5,4
7,4
11,6
13,6
17,6
19,8
23,9
29,8
31,10
37,8
41,12
43,10
47,10
53,12
59,12
61,10
67,8
71,2
73,10
79,10
83,16
89,14
97,15
101,13
103,14
107,16
109,16
113,19
127,22
131,15
137,9
139,0
149,6
151,17
157,2
163,8
167,24
173,20
179,6
181,-6
191,-17
193,12
197,17
199,16
211,4
223,-1
227,24
229,6
233,30
239,2
241,4
251,-5
257,30
263,23
269,30
271,13
277,-2
281,5
283,-15
293,-6
307,0
311,0
313,-34
317,28
331,28
337,18
347,22
349,10
353,15
359,-30
367,16
373,-14
379,20
383,6
389,-26
397,32
401,-18
409,34
419,20
421,34
431,-33
433,-10
439,14
443,41
449,34
457,11
461,22
463,20
467,-24
479,-24
487,-2
491,-22
499,34
503,-6
509,-34
521,10
523,-28
541,-30
547,-44
557,-17
563,37
569,26
571,28
577,2
587,16
593,1
599,0
601,-6
607,-16
613,3
617,23
619,15
631,43
641,42
643,2
647,-12
653,24
659,0
661,-11
673,-39
677,9
683,44
691,-28
701,42
709,23
719,28
727,18
733,-43
739,-22
743,18
751,-2
757,15
761,-45
769,-30
773,-4
787,-50
797,17
809,1
811,-6
821,-26
823,-26
827,57
829,32
839,4
853,4
857,52
859,8
863,-20
877,-12
881,-2
883,53
887,15
907,-12
911,20
919,43
929,46
937,38
941,38
947,-35
953,-18
967,8
971,-12
977,-42
983,-24
991,47
997,-22
1009,-53
1013,6
1019,-6
1021,-1
1031,-60
1033,26
1039,30
1049,57
1051,-12
1061,10
1063,-1
1069,8
1087,52
1091,21
1093,38
1097,-40
1103,24
1109,60
1117,-14
1123,8
1129,44
1151,34
1153,49
1163,14
1171,17
1181,30
1187,-22
1193,-36
1201,-17
1213,-9
1217,28
1223,56
1229,38
1231,14
1237,33
1249,37
1259,-5
1277,-30
1279,34
1283,32
1289,54
1291,1
1297,18
1301,-33
1303,-9
1307,3
1319,72
1321,-4
1327,-48
1361,-6
1367,8
1373,22
1381,31
1399,-43
1409,-60
1423,-32
1427,-6
1429,32
1433,61
1439,68
1447,-28
1451,-7
1453,2
1459,43
1471,11
1481,-2
1483,35
1487,0
1489,15
1493,38
1499,8
1511,0
1523,36
1531,44
1543,-55
1549,21
1553,-11
1559,-34
1567,72
1571,31
1579,50
1583,50
1597,-2
1601,34
1607,-68
1609,35
1613,22
1619,-26
1621,47
1627,7
1637,30
1657,58
1663,-17
1667,44
1669,9
1693,24
1697,5
1699,6
1709,35
1721,10
1723,-11
1733,33
1741,8
1747,37
1753,-22
1759,60
1777,17
1783,44
1787,18
1789,-6
1801,-32
1811,-27
1823,21
1831,75
1847,3
1861,52
1867,-42
1871,-18
1873,31
1877,16
1879,52
1889,-6
1901,-56
1907,-18
1913,-45
1931,37
1933,14
1949,45
1951,76
1973,-9
1979,54
1987,-22
1993,-29
1997,60
1999,28
2003,-34
2011,-80
2017,-4
2027,54
2029,-40
2039,31
2053,55
2063,4
2069,-56
2081,-30
2083,27
2087,-75
2089,6
2099,15
2111,-8
2113,48
2129,-22
2131,-70
2137,50
2141,42
2143,87
2153,34
2161,-43
2179,32
2203,68
2207,-6
2213,-1
2221,-5
2237,26
2239,48
2243,-84
2251,40
2267,-14
2269,4
2273,33
2281,6
2287,62
2293,53
2297,-27
2309,41
2311,39
2333,-4
2339,-1
2341,58
2347,-78
2351,-57
2357,-12
2371,-8
2377,92
2381,16
2383,-58
2389,34
2393,26
2399,-26
2411,52
2417,-54
2423,-66
2437,-77
2441,22
2447,-20
2459,-51
2467,-77
2473,-26
2477,-66
2503,100
2521,-72
2531,21
2539,-48
2543,45
2549,60
2551,28
2557,60
2579,75
2591,39
2593,44
