prime,trace
2,2
3,3
5,3
7,4
11,6
13,5
17,6
19,8
23,4
29,9
31,10
37,12
41,8
43,4
47,8
53,8
59,7
61,1
67,14
71,8
73,14
79,4
83,11
89,10
97,14
101,6
103,6
107,11
109,-18
113,16
127,0
131,0
137,-3
139,22
149,16
151,-8
157,-11
163,-2
167,-7
173,14
179,12
181,3
191,3
193,-16
197,20
199,19
211,10
223,-4
227,3
229,-2
233,-5
239,4
241,-4
251,18
257,24
263,-12
269,0
271,22
277,-12
281,28
283,18
293,26
307,-18
311,32
313,16
317,20
331,6
337,-2
347,36
349,10
353,-27
359,13
367,28
373,-12
379,-11
383,18
389,-14
397,13
401,31
409,-26
419,30
421,18
431,-15
433,-2
439,-14
443,-12
449,-10
457,-12
461,-40
463,-8
467,23
479,0
487,8
491,-5
499,11
503,-17
509,26
521,-30
523,36
541,-20
547,28
557,27
563,-4
569,15
571,15
577,-10
587,44
593,-42
599,-16
601,34
607,-44
613,8
617,12
619,24
631,-28
641,-12
643,21
647,16
653,2
659,30
661,20
673,12
677,-12
683,0
691,48
701,35
709,-44
719,-14
727,-26
733,-4
739,-6
743,6
751,-8
757,24
761,15
769,-2
773,-18
787,-22
797,6
809,2
811,-12
821,-10
823,56
827,-44
829,-26
839,57
853,-13
857,53
859,51
863,48
877,50
881,-37
883,23
887,-30
907,56
911,39
919,-25
929,34
937,47
941,36
947,15
953,-15
967,32
971,-3
977,-46
983,-42
991,-57
997,12
1009,34
1013,8
1019,9
1021,46
1031,40
1033,6
1039,25
1049,-50
1051,-44
1061,-27
1063,-53
1069,36
1087,-7
1091,36
1093,-24
1097,42
1103,24
1109,33
1117,52
1123,19
1129,-44
1151,9
1153,-18
1163,48
1171,-26
1181,18
1187,30
1193,-5
1201,53
1213,10
1217,-2
1223,-9
1229,22
1231,-29
1237,6
1249,46
1259,12
1277,-52
1279,37
1283,48
1289,-14
1291,33
1297,-8
1301,58
1303,-3
1307,-1
1319,20
1321,30
1327,-70
1361,-6
1367,-29
1373,34
1381,52
1399,-36
1409,30
1423,6
1427,-25
1429,-16
1433,57
1439,-51
1447,-48
1451,-38
1453,4
1459,30
1471,-51
1481,10
1483,68
1487,-28
1489,49
1493,22
1499,-20
1511,-63
1523,-26
1531,-20
1543,-68
1549,38
1553,-70
1559,21
1567,34
1571,9
1579,-49
1583,-47
1597,23
1601,-48
1607,-69
1609,-11
1613,32
1619,-6
1621,12
1627,55
1637,-7
1657,20
1663,-60
1667,-4
1669,77
1693,2
1697,-14
1699,23
1709,-55
1721,51
1723,59
1733,41
1741,18
1747,22
1753,-6
1759,-15
1777,42
1783,16
1787,57
1789,-58
1801,0
1811,26
1823,-51
1831,-73
1847,-6
1861,-10
1867,-12
1871,8
1873,31
1877,43
1879,80
1889,-5
1901,65
1907,84
1913,3
1931,-76
1933,70
1949,51
1951,8
1973,24
1979,24
1987,66
1993,56
1997,-8
1999,-15
2003,-7
2011,88
2017,70
2027,-35
2029,32
2039,36
2053,31
2063,60
2069,70
2081,41
2083,40
2087,-24
2089,-27
2099,-8
2111,2
2113,46
2129,-54
2131,85
2137,76
2141,30
2143,-64
2153,5
2161,30
2179,-1
2203,72
2207,26
2213,76
2221,79
2237,-18
2239,72
2243,68
2251,52
2267,-43
2269,-5
2273,-34
2281,14
2287,47
2293,10
2297,-76
2309,0
2311,36
2333,9
2339,-91
2341,-62
2347,-32
2351,-34
2357,-44
2371,55
2377,-12
2381,-78
2383,-72
2389,-16
2393,39
2399,-1
2411,75
2417,-15
2423,-62
2437,-64
2441,-92
2447,-90
2459,60
2467,72
2473,-34
2477,-67
2503,-78
2521,-70
2531,-12
2539,11
2543,-7
2549,-60
2551,50
2557,-2
2579,66
2591,27
2593,-6
2609,-34
2617,20
2621,60
2633,30
2647,58
2657,-48
2659,-23
2663,-41
2671,1
2677,-10
2683,-42
2687,42
2689,-78
2693,71
2699,-84
2707,-33
2711,25
2713,32
2719,0
2729,64
2731,-32
2741,-54
2749,-32
2753,-60
2767,-32
2777,21
2789,-90
2791,-24
2797,100
2801,18
2803,-100
2819,52
2833,-29
2837,-90
2843,-20
2851,36
2857,-10
2861,58
2879,41
2887,86
2897,-9
2903,-84
2909,50
2917,-50
2927,43
2939,100
2953,29
2957,51
2963,-34
2969,72
2971,20
2999,108
3001,90
3011,-62
3019,-24
3023,-21
3037,-38
3041,-6
3049,89
3061,5
3067,83
3079,-40
3083,4
3089,20
3109,-20
3119,-39
3121,86
3137,37
3163,-65
3167,-42
3169,-30
3181,-32
3187,-105
3191,80
3203,-46
3209,90
3217,94
3221,72
3229,18
3251,44
3253,-66
3257,-70
3259,-43
3271,-66
3299,0
3301,-10
3307,-24
3313,-65
3319,78
3323,48
3329,66
3331,-7
3343,96
3347,-8
3359,80
3361,21
3371,45
3373,-4
3389,-54
3391,-91
3407,19
3413,69
3433,67
3449,30
3457,52
3461,53
3463,-56
3467,-88
3469,-108
3491,40
3499,40
3511,-104
3517,70
3527,9
3529,97
3533,-50
3539,-89
3541,-50
3547,76
3557,12
3559,56
3571,26
3581,-82
3583,-17
3593,2
3607,-8
3613,92
3617,-77
3623,-16
3631,-84
3637,-68
3643,-23
3659,6
3671,-56
3673,-40
3677,-18
3691,-53
3697,-2
3701,-54
3709,74
3719,24
3727,38
3733,-25
3739,-20
3761,62
3767,-75
3769,37
3779,-22
3793,6
3797,-116
3803,60
3821,-74
3823,-71
3833,-70
3847,-38
3851,-15
3853,-23
3863,-28
3877,60
3881,-77
3889,77
3907,28
3911,-17
3917,-62
3919,110
3923,60
3929,19
3931,-100
3943,109
3947,-23
3967,-58
3989,35
4001,-15
4003,-56
4007,-80
4013,2
4019,48
4021,107
4027,-110
4049,-8
4051,84
4057,39
4073,38
4079,-108
4091,-24
4093,-4
4099,9
4111,-10
4127,62
4129,61
4133,82
4139,-96
4153,-90
4157,52
4159,-19
4177,-40
4201,118
4211,-44
4217,115
4219,17
4229,-2
4231,55
4241,-15
4243,-86
4253,-81
4259,-79
4261,95
4271,-93
4273,-42
4283,81
4289,126
4297,12
4327,6
4337,30
4339,-45
4349,60
4357,92
4363,-45
4373,69
4391,8
4397,114
4409,9
4421,5
4423,106
4441,9
4447,5
4451,-68
4457,123
4463,64
4481,-13
4483,-71
4493,72
4507,58
4513,62
4517,132
4519,10
4523,69
4547,82
4549,92
4561,-38
4567,-86
4583,-96
4591,92
4597,98
4603,-72
4621,118
4637,48
4639,121
4643,-3
4649,-14
4651,-19
4657,48
4663,-58
4673,-8
4679,60
4691,-36
4703,135
4721,-120
4723,136
4729,38
4733,34
4751,27
4759,-8
4783,-26
4787,-3
4789,-128
4793,6
4799,-129
4801,50
4813,73
4817,-6
4831,43
4861,-54
4871,66
4877,2
4889,-7
4903,86
4909,17
4919,5
4931,-22
4933,-104
4937,33
4943,-26
4951,-13
4957,75
4967,111
4969,57
4973,-31
4987,36
4993,26
4999,16
5003,-42
5009,-115
5011,121
5021,84
5023,-96
5039,-19
5051,35
5059,116
5077,42
5081,-130
5087,-57
5099,3
5101,14
5107,-4
5113,122
5119,-4
5147,52
5153,-138
5167,-67
5171,-111
5179,-25
5189,-94
5197,-10
5209,-44
5227,-36
5231,-70
5233,4
5237,-100
5261,114
5273,1
5279,8
5281,140
5297,39
5303,46
5309,71
5323,-118
5333,24
5347,38
5351,-98
5381,66
5387,87
5393,-142
5399,141
5407,-62
5413,-73
5417,12
5419,16
5431,-4
5437,22
5441,-77
5443,64
5449,79
5471,-11
5477,107
5479,52
5483,40
5501,28
5503,-23
5507,60
5519,12
5521,55
5527,58
5531,-24
5557,-38
5563,-4
5569,95
5573,31
5581,38
5591,123
5623,17
5639,-20
5641,-86
5647,68
5651,20
5653,41
5657,42
5659,69
5669,41
5683,-32
5689,94
5693,69
5701,52
5711,120
5717,-138
5737,-106
5741,-36
5743,88
5749,-145
5779,-114
5783,52
5791,-120
5801,-73
5807,0
5813,-27
5821,77
