prime,trace
2,2
3,3
5,4
7,4
11,6
13,4
17,4
19,7
23,6
29,6
31,2
37,0
41,0
43,8
47,9
53,9
59,11
61,2
67,12
71,8
73,14
79,-9
83,2
89,-11
97,-6
101,-4
103,0
107,-12
109,-7
113,5
127,-7
131,7
137,3
139,-4
149,-6
151,-9
157,-4
163,4
167,8
173,9
179,-9
181,-19
191,16
193,13
197,20
199,13
211,12
223,-21
227,26
229,10
233,-15
239,15
241,29
251,-8
257,18
263,-2
269,14
271,-18
277,13
281,-24
283,16
293,-9
307,17
311,32
313,14
317,22
331,4
337,-8
347,-12
349,35
353,34
359,15
367,-32
373,0
379,-15
383,27
389,3
397,-10
401,18
409,31
419,20
421,-10
431,30
433,-12
439,-10
443,32
449,-14
457,21
461,6
463,-16
467,11
479,26
487,24
491,-40
499,-8
503,41
509,-42
521,-18
523,-6
541,-10
547,-9
557,-17
563,33
569,-2
571,31
577,22
587,26
593,-5
599,-16
601,10
607,-34
613,-10
617,4
619,3
631,-47
641,18
643,12
647,3
653,-24
659,-14
661,-10
673,-16
677,48
683,45
691,-2
701,-24
709,8
719,10
727,33
733,18
739,-44
743,-16
751,4
757,33
761,38
769,50
773,-3
787,1
797,-39
809,54
811,-16
821,24
823,31
827,-24
829,40
839,-15
853,-15
857,22
859,41
863,-21
877,32
881,33
883,22
887,-1
907,28
911,24
919,25
929,28
937,-37
941,-14
947,17
953,-48
967,23
971,2
977,-10
983,-17
991,13
997,-49
1009,23
1013,46
1019,-25
1021,12
1031,4
1033,-8
1039,5
1049,-31
1051,43
1061,30
1063,-8
1069,47
1087,-55
1091,-17
1093,-46
1097,-58
1103,-36
1109,-49
1117,-18
1123,-45
1129,-43
1151,-24
1153,-17
1163,34
1171,-64
1181,29
1187,-12
1193,32
1201,22
1213,19
1217,28
1223,45
1229,-18
1231,14
1237,-46
1249,-51
1259,-16
1277,18
1279,-62
1283,-3
1289,-19
1291,42
1297,22
1301,30
1303,-24
1307,51
1319,27
1321,26
1327,8
1361,-46
1367,-65
1373,45
1381,48
1399,-20
1409,-11
1423,64
1427,12
1429,-10
1433,18
1439,-45
1447,41
1451,24
1453,-36
1459,-15
1471,56
1481,-45
1483,24
1487,27
1489,15
1493,8
1499,-55
1511,-24
1523,23
1531,31
1543,48
1549,38
1553,51
1559,7
1567,22
1571,22
1579,-31
1583,17
1597,14
1601,30
1607,-7
1609,50
1613,-21
1619,-57
1621,46
1627,-23
1637,58
1657,-20
1663,23
1667,-63
1669,-59
1693,-62
1697,-28
1699,72
1709,-76
1721,-11
1723,-46
1733,-32
1741,-50
1747,-28
1753,-71
1759,54
1777,42
1783,-18
1787,-47
1789,20
1801,64
1811,45
1823,-82
1831,72
1847,52
1861,-78
1867,61
1871,9
1873,66
1877,0
1879,-4
1889,53
1901,45
1907,52
1913,-41
1931,9
1933,40
1949,22
1951,44
1973,-6
1979,28
1987,77
1993,-54
1997,-16
1999,20
2003,-41
2011,31
2017,-30
2027,42
2029,-4
2039,29
2053,1
2063,3
2069,-9
2081,9
2083,12
2087,77
2089,20
2099,66
2111,-77
2113,54
2129,90
2131,41
2137,-60
2141,-9
2143,-76
2153,-9
2161,-2
2179,-20
2203,61
2207,20
2213,-86
2221,34
2237,-18
2239,-68
2243,-67
2251,-19
2267,-8
2269,37
2273,-42
2281,11
2287,34
2293,-74
2297,-25
2309,31
2311,40
2333,-24
2339,-46
2341,63
2347,46
2351,-15
2357,-24
2371,-56
2377,-15
2381,-1
2383,-35
2389,-66
2393,-30
2399,48
2411,-46
2417,-90
2423,-48
2437,42
2441,12
2447,2
2459,4
2467,-46
2473,64
2477,47
2503,86
2521,7
2531,-8
2539,-78
2543,-38
2549,-30
2551,-2
2557,-14
2579,-10
2591,-36
2593,50
2609,-26
2617,-27
2621,-2
2633,-26
2647,25
2657,54
2659,18
2663,75
2671,27
2677,-14
2683,30
2687,-53
2689,90
2693,-54
2699,44
2707,-48
2711,6
2713,-50
2719,2
2729,-84
2731,70
2741,74
2749,-28
2753,-18
2767,-84
2777,-36
2789,30
2791,-78
2797,-82
2801,78
2803,50
2819,-8
2833,-61
2837,48
2843,21
2851,48
2857,43
2861,40
2879,-39
2887,60
2897,-2
2903,-34
2909,-94
2917,26
2927,64
2939,12
2953,45
2957,-33
2963,36
2969,1
2971,85
2999,-6
3001,-23
3011,95
3019,34
3023,-44
3037,-34
3041,-42
3049,1
3061,50
3067,34
3079,7
3083,-74
3089,-103
3109,96
3119,-9
3121,17
3137,48
3163,42
3167,-44
3169,34
3181,-4
3187,60
3191,-8
3203,-30
3209,35
3217,50
3221,-22
3229,7
3251,0
3253,-36
3257,30
3259,7
3271,-25
3299,48
3301,112
3307,-4
3313,-30
3319,-8
3323,-41
3329,30
3331,-32
3343,-24
3347,108
3359,22
3361,30
3371,66
3373,-34
3389,0
3391,88
3407,-10
3413,99
3433,-25
3449,6
3457,-110
3461,-8
3463,102
3467,-12
3469,-5
3491,87
3499,-80
3511,5
3517,-72
3527,25
3529,38
3533,66
3539,-46
3541,26
3547,72
3557,-38
3559,-60
3571,-93
3581,30
3583,-37
3593,-9
3607,-101
3613,-40
3617,6
3623,24
3631,110
3637,57
3643,20
3659,36
3671,0
3673,-44
3677,32
3691,-105
3697,107
3701,-87
3709,-8
3719,-92
3727,-98
3733,66
3739,-4
3761,75
3767,-69
3769,17
3779,-13
3793,71
3797,4
3803,87
3821,-14
3823,-93
3833,-26
3847,12
3851,37
3853,-25
3863,72
3877,-107
3881,-102
3889,88
3907,62
3911,-39
3917,0
3919,90
3923,119
3929,20
3931,3
3943,-2
3947,33
3967,-42
3989,-6
4001,59
4003,64
4007,-11
4013,32
4019,-78
4021,-89
4027,-106
4049,30
4051,-22
4057,-70
4073,-104
4079,73
4091,-18
4093,37
4099,-104
4111,51
4127,-60
4129,71
4133,-45
4139,0
4153,94
4157,100
4159,-65
4177,98
4201,96
4211,31
4217,78
4219,6
4229,106
4231,-60
4241,78
4243,-71
4253,-60
4259,-6
4261,12
4271,90
4273,0
4283,67
4289,-20
4297,-54
4327,49
4337,39
4339,-5
4349,-66
4357,40
4363,-65
4373,-6
4391,-40
4397,88
4409,-12
4421,-30
4423,112
4441,-49
4447,-43
4451,-75
4457,43
4463,-76
4481,-46
4483,4
4493,-74
4507,-85
4513,-30
4517,22
4519,1
4523,-78
4547,39
4549,2
4561,-26
4567,108
4583,-97
4591,-84
4597,-35
4603,-48
4621,68
4637,48
4639,95
4643,73
4649,-21
4651,80
4657,-110
4663,-12
4673,96
4679,-78
4691,2
4703,6
4721,127
4723,34
4729,-72
4733,11
4751,102
4759,40
4783,20
4787,36
4789,106
4793,-55
4799,-40
4801,-60
4813,78
4817,-95
4831,80
4861,48
4871,26
4877,-2
4889,-10
4903,112
4909,-100
4919,-96
4931,-4
4933,-26
4937,-108
4943,-39
4951,2
4957,-109
4967,-76
4969,-19
4973,114
4987,25
4993,-25
4999,-31
5003,27
5009,-12
5011,27
5021,70
5023,110
5039,20
5051,95
5059,-94
5077,1
5081,-62
5087,-21
5099,44
5101,-112
5107,128
5113,117
5119,-116
5147,27
5153,85
5167,-48
5171,-36
5179,-12
5189,105
5197,-113
5209,-52
5227,-140
5231,-87
5233,122
5237,106
5261,-131
5273,-3
5279,73
5281,38
5297,23
5303,78
5309,-21
5323,-44
5333,-21
5347,113
5351,16
5381,-33
5387,6
5393,-66
5399,-80
5407,76
5413,-31
5417,-113
5419,-92
5431,14
5437,29
5441,132
5443,104
5449,-38
5471,60
5477,117
5479,-113
5483,51
5501,90
5503,86
5507,6
5519,-66
5521,72
5527,96
5531,52
5557,53
5563,-124
5569,90
5573,6
5581,118
5591,0
5623,97
5639,77
5641,-35
5647,-9
5651,9
5653,74
5657,-57
5659,-76
5669,-134
5683,44
5689,52
5693,-34
5701,34
5711,-23
5717,6
5737,-86
5741,-3
5743,-59
5749,102
5779,-11
5783,-6
5791,8
5801,17
