prime,trace
4519,28
4523,92
4547,113
4549,49
4561,98
4567,-24
4583,21
4591,80
4597,-48
4603,37
4621,82
4637,-82
4639,-14
4643,119
4649,-27
4651,-43
4657,41
4663,23
4673,-9
4679,131
4691,-90
4703,128
4721,12
4723,3
4729,80
4733,29
4751,90
4759,-61
4783,44
4787,87
4789,-29
4793,43
4799,20
4801,82
4813,108
4817,104
4831,-10
4861,-35
4871,-34
4877,59
4889,10
4903,26
4909,62
4919,58
4931,30
4933,64
4937,-9
4943,-9
4951,95
4957,11
4967,-24
4969,100
4973,-30
4987,-12
4993,2
4999,-60
5003,37
5009,18
5011,35
5021,65
5023,-26
5039,-98
5051,109
5059,-92
5077,-62
5081,-37
5087,48
5099,57
5101,-14
5107,-80
5113,-34
5119,-25
5147,62
5153,-103
5167,92
5171,3
5179,43
5189,-88
5197,13
5209,-10
5227,-102
5231,-30
5233,139
5237,-87
5261,-26
5273,-110
5279,66
5281,92
5297,-6
5303,11
5309,42
5323,-112
5333,42
5347,-33
5351,23
5381,87
5387,132
5393,-136
5399,26
5407,-4
5413,26
5417,-12
5419,-60
5431,-40
5437,87
5441,105
5443,28
5449,-136
5471,45
5477,-24
5479,8
5483,104
5501,75
5503,34
5507,-68
5519,35
5521,-40
5527,-88
5531,64
5557,-139
5563,-111
5569,-68
5573,-71
5581,-58
5591,4
5623,-32
5639,24
5641,-16
5647,64
5651,-148
5653,-88
5657,-58
5659,21
5669,74
5683,68
5689,-54
5693,-49
5701,38
5711,-84
5717,148
5737,40
5741,81
5743,48
5749,85
5779,2
5783,-20
5791,89
5801,-64
5807,25
5813,4
5821,44
5827,68
5839,-115
5843,42
5849,104
5851,-44
5857,120
5861,-20
5867,-48
5869,-8
5879,-19
5881,-86
5897,35
5903,8
5923,-8
5927,-100
5939,-10
5953,46
5981,-20
5987,-4
6007,16
6011,12
6029,-134
6037,-7
6043,65
6047,52
6053,111
6067,93
6073,-94
6079,-46
6089,126
6091,105
6101,146
6113,129
6121,60
6131,45
6133,-25
6143,96
6151,36
6163,136
6173,72
6197,-72
6199,-128
6203,-132
6211,84
6217,-23
6221,-120
6229,47
6247,-18
6257,-42
6263,-80
6269,14
6271,4
6277,-34
6287,24
6299,-36
6301,119
6311,75
6317,-27
6323,5
6329,-6
6337,-79
6343,-25
6353,-27
6359,26
6361,-42
6367,-75
6373,-152
6379,-8
6389,6
6397,-50
6421,-104
6427,-100
6449,-10
6451,134
6469,-26
6473,26
6481,42
6491,129
6521,122
6529,-92
6547,-17
6551,-57
6553,-144
6563,-64
6569,63
6571,121
6577,-23
6581,16
6599,106
6607,-115
6619,3
6637,-147
6653,120
6659,-100
6661,0
6673,-2
6679,-41
6689,-119
6691,-12
6701,30
6703,-16
6709,7
6719,-109
6733,-17
6737,74
6761,148
6763,121
6779,-108
6781,23
6791,117
6793,-62
6803,-54
6823,-73
6827,-41
6829,10
6833,59
6841,162
6857,102
6863,-34
6869,-114
6871,122
6883,-24
6899,-30
6907,-52
6911,40
6917,57
6947,99
6949,74
6959,40
6961,78
6967,-52
6971,-132
6977,99
6983,-27
6991,-105
6997,103
7001,-78
7013,62
7019,96
7027,72
7039,146
7043,17
7057,93
7069,18
7079,-145
7103,84
7109,108
7121,-11
7127,57
7129,-75
7151,-124
7159,88
7177,22
7187,-28
7193,48
7207,-32
7211,161
7213,75
7219,-94
7229,-12
7237,-106
7243,134
7247,-95
7253,-132
7283,-130
7297,102
7307,-52
7309,-34
7321,-88
7331,-30
7333,155
7349,95
7351,-130
7369,18
7393,154
7411,-148
7417,-82
7433,38
7451,-138
7457,-43
7459,116
7477,-115
7481,-84
7487,-31
7489,104
7499,32
7507,80
7517,98
7523,166
7529,138
7537,134
7541,-17
7547,144
7549,-32
7559,19
7561,16
7573,-104
7577,-152
7583,-144
7589,-2
7591,92
7603,34
7607,163
7621,-145
7639,29
7643,75
7649,36
7669,-101
7673,-4
7681,-49
7687,24
7691,100
7699,-100
7703,112
7717,31
7723,30
7727,12
7741,-58
7753,-164
7757,-126
7759,-60
7789,30
7793,-6
7817,-90
7823,66
7829,59
7841,30
7853,2
7867,-73
7873,29
7877,109
7879,-149
7883,134
7901,27
7907,9
7919,-4
7927,46
7933,-38
7937,46
7949,85
7951,52
7963,-93
7993,-34
8009,-12
8011,-100
8017,-36
8039,-108
8053,-74
8059,-46
8069,21
8081,140
8087,70
8089,30
8093,-51
8101,135
8111,87
8117,9
8123,12
8147,108
8161,38
8167,38
8171,-108
8179,10
8191,-14
8209,-64
8219,66
8221,-93
8231,-64
8233,-15
8237,-42
8243,36
8263,0
8269,-134
8273,-100
8287,-72
8291,89
8293,120
8297,-96
8311,48
8317,132
8329,108
8353,-82
8363,48
8369,84
8377,-113
8387,108
8389,65
8419,86
8423,-82
8429,86
8431,-101
8443,142
8447,-108
8461,93
8467,-156
8501,-108
8513,27
8521,52
8527,126
8537,12
8539,-113
8543,18
8563,29
8573,126
8581,-118
8597,-58
8599,64
8609,-98
8623,137
8627,-36
8629,-44
8641,10
8647,24
8663,-114
8669,30
8677,-37
8681,40
8689,6
8693,130
8699,87
8707,-28
8713,-74
8719,-132
8731,35
8737,2
8741,39
8747,94
8753,-116
8761,-52
8779,85
8783,-9
8803,51
8807,75
8819,114
8821,-14
8831,150
8837,-58
8839,116
8849,-138
8861,-135
8863,-64
8867,8
8887,138
8893,-123
8923,45
8929,146
8933,-76
8941,-26
8951,165
